bank_entry_id,settlement_batch_id,booked_at,credited_amount,currency,bank_reference,description
SYNTH-BANK-000001,SYNTH-BATCH-AMOUNT-BREAK-000266,2026-01-15T09:30:11Z,1862.63,USD,SYNTH-BANK-REF-000001,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-000266
SYNTH-BANK-000002,SYNTH-BATCH-AMOUNT-BREAK-000280,2026-01-15T16:20:42Z,933.85,EUR,SYNTH-BANK-REF-000002,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-000280
SYNTH-BANK-000003,SYNTH-BATCH-AMOUNT-BREAK-000304,2026-01-11T21:30:49Z,9.01,USD,SYNTH-BANK-REF-000003,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-000304
SYNTH-BANK-000004,SYNTH-BATCH-AMOUNT-BREAK-000374,2026-01-11T07:02:30Z,1800.61,USD,SYNTH-BANK-REF-000004,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-000374
SYNTH-BANK-000005,SYNTH-BATCH-AMOUNT-BREAK-000449,2026-01-02T04:49:36Z,1806.68,USD,SYNTH-BANK-REF-000005,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-000449
SYNTH-BANK-000006,SYNTH-BATCH-AMOUNT-BREAK-000508,2026-01-05T13:46:01Z,1646.63,USD,SYNTH-BANK-REF-000006,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-000508
SYNTH-BANK-000007,SYNTH-BATCH-AMOUNT-BREAK-000656,2026-01-13T04:10:39Z,2325.66,USD,SYNTH-BANK-REF-000007,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-000656
SYNTH-BANK-000008,SYNTH-BATCH-AMOUNT-BREAK-000741,2026-01-14T22:25:48Z,1868.75,GBP,SYNTH-BANK-REF-000008,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-000741
SYNTH-BANK-000009,SYNTH-BATCH-AMOUNT-BREAK-000886,2026-01-05T05:31:44Z,1792.15,USD,SYNTH-BANK-REF-000009,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-000886
SYNTH-BANK-000010,SYNTH-BATCH-AMOUNT-BREAK-000963,2026-01-12T07:27:53Z,31.69,USD,SYNTH-BANK-REF-000010,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-000963
SYNTH-BANK-000011,SYNTH-BATCH-BANK-CURRENCY-000110,2026-01-13T02:27:20Z,767.13,USD,SYNTH-BANK-REF-000011,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-000110
SYNTH-BANK-000012,SYNTH-BATCH-BANK-CURRENCY-000200,2026-01-05T08:49:48Z,2324.87,USD,SYNTH-BANK-REF-000012,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-000200
SYNTH-BANK-000013,SYNTH-BATCH-BANK-CURRENCY-000282,2026-01-03T21:13:33Z,1332.59,EUR,SYNTH-BANK-REF-000013,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-000282
SYNTH-BANK-000014,SYNTH-BATCH-BANK-CURRENCY-000407,2026-01-02T07:30:38Z,1777.1,EUR,SYNTH-BANK-REF-000014,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-000407
SYNTH-BANK-000015,SYNTH-BATCH-BANK-CURRENCY-000472,2026-01-11T07:04:30Z,1101.12,EUR,SYNTH-BANK-REF-000015,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-000472
SYNTH-BANK-000016,SYNTH-BATCH-BANK-CURRENCY-000516,2026-01-13T08:11:47Z,397.58,EUR,SYNTH-BANK-REF-000016,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-000516
SYNTH-BANK-000017,SYNTH-BATCH-BANK-CURRENCY-000545,2026-01-14T23:31:49Z,2370.09,EUR,SYNTH-BANK-REF-000017,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-000545
SYNTH-BANK-000018,SYNTH-BATCH-BANK-CURRENCY-000547,2026-01-02T04:19:44Z,1318.36,EUR,SYNTH-BANK-REF-000018,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-000547
SYNTH-BANK-000019,SYNTH-BATCH-BANK-CURRENCY-000559,2026-01-14T06:27:19Z,2264.44,EUR,SYNTH-BANK-REF-000019,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-000559
SYNTH-BANK-000020,SYNTH-BATCH-BANK-CURRENCY-000793,2026-01-10T16:32:52Z,722.82,EUR,SYNTH-BANK-REF-000020,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-000793
SYNTH-BANK-000021,SYNTH-BATCH-CURRENCY-000031,2026-01-04T20:34:20Z,555.08,USD,SYNTH-BANK-REF-000021,Synthetic settlement for SYNTH-BATCH-CURRENCY-000031
SYNTH-BANK-000022,SYNTH-BATCH-CURRENCY-000041,2026-01-14T18:32:29Z,2265.19,USD,SYNTH-BANK-REF-000022,Synthetic settlement for SYNTH-BATCH-CURRENCY-000041
SYNTH-BANK-000023,SYNTH-BATCH-CURRENCY-000046,2026-01-05T05:29:49Z,1325.26,EUR,SYNTH-BANK-REF-000023,Synthetic settlement for SYNTH-BATCH-CURRENCY-000046
SYNTH-BANK-000024,SYNTH-BATCH-CURRENCY-000072,2026-01-03T15:28:18Z,606.98,EUR,SYNTH-BANK-REF-000024,Synthetic settlement for SYNTH-BATCH-CURRENCY-000072
